"","platformId","gameId","season","timestamp"
"4","EUW1",3347778506,9,1505679552986
"5","EUW1",3347749662,9,1505677185247
"6","EUW1",3347747326,9,1505676625755
"7","EUW1",3342978293,9,1505334339794
"8","EUW1",3342971087,9,1505332355302
"9","EUW1",3342888616,9,1505329339756
"10","EUW1",3340409495,9,1505161172615
"11","EUW1",3340347808,9,1505158992203
"12","EUW1",3340325829,9,1505156889415
"15","EUW1",3329146792,9,1504469775466
"16","EUW1",3326439386,9,1504299754342
"17","EUW1",3326431858,9,1504297911962
"18","EUW1",3326373527,9,1504295609317
"19","EUW1",3326324736,9,1504293314111
