"","partcipantId","teamId","participantId","win","item0","item1","item2","item3","item4","item5","item6","kills","deaths","assists","largestKillingSpree","largestMultiKill","killingSprees","longestTimeSpentLiving","doubleKills","tripleKills","quadraKills","pentaKills","unrealKills","totalDamageDealt","magicDamageDealt","physicalDamageDealt","trueDamageDealt","largestCriticalStrike","totalDamageDealtToChampions","magicDamageDealtToChampions","physicalDamageDealtToChampions","trueDamageDealtToChampions","totalHeal","totalUnitsHealed","damageSelfMitigated","damageDealtToObjectives","damageDealtToTurrets","visionScore","timeCCingOthers","totalDamageTaken","magicalDamageTaken","physicalDamageTaken","trueDamageTaken","goldEarned","goldSpent","turretKills","inhibitorKills","totalMinionsKilled","neutralMinionsKilled","neutralMinionsKilledTeamJungle","neutralMinionsKilledEnemyJungle","totalTimeCrowdControlDealt","champLevel","visionWardsBoughtInGame","sightWardsBoughtInGame","wardsPlaced","wardsKilled","firstBloodKill","firstBloodAssist","firstTowerKill","firstTowerAssist","firstInhibitorKill","firstInhibitorAssist","combatPlayerScore","objectivePlayerScore","totalPlayerScore","totalScoreRank","playerScore0","playerScore1","playerScore2","playerScore3","playerScore4","playerScore5","playerScore6","playerScore7","playerScore8","playerScore9","platformId","accountId","summonerName","summonerId","currentPlatformId","currentAccountId","matchHistoryUri","profileIcon","duration"
"33477785060",1,100,1,FALSE,3117,2301,3504,2055,1029,0,3364,0,6,4,0,0,0,740,0,0,0,0,0,8651,6584,2066,0,0,4973,3826,1146,0,2940,5,5666,578,578,60,13,10954,3149,7756,48,6434,6150,1,0,5,0,0,0,29,9,4,0,30,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"EUW1",205505880,"xxmeow",49079216,"EUW1",205505880,"/v1/stats/player_history/EUW1/205505880",1391,1642
"33477785061",2,100,2,FALSE,3144,2055,3158,3042,3078,1043,3363,6,5,2,2,2,2,547,1,0,0,0,0,126933,12269,114664,0,0,14752,3610,11142,0,1777,3,6971,4014,4014,6,0,12788,2552,9992,244,11704,10258,1,0,239,10,2,0,2,13,1,0,4,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"EUW1",33840968,"xNoïr",30108089,"EUW1",33840968,"/v1/stats/player_history/EUW1/33840968",3019,1642
"33477785062",3,100,3,FALSE,1054,3157,3146,1052,3020,1026,3340,5,6,6,3,1,1,631,0,0,0,0,0,96174,84264,11529,380,0,13667,11887,1400,380,2116,1,9132,667,667,11,1,16029,5859,9743,426,9446,9260,0,0,154,1,1,0,9,13,1,0,10,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"EUW1",22115527,"Varunaan",19396207,"EUW1",22115527,"/v1/stats/player_history/EUW1/22115527",512,1642
"33477785063",4,100,4,FALSE,1401,1031,1057,3111,3105,3076,3340,1,5,9,0,1,0,459,0,0,0,0,0,100756,72435,22447,5873,42,8186,5592,1973,620,4138,1,32898,469,469,23,37,24327,4015,20082,230,8379,7495,0,0,30,80,48,6,658,13,3,0,12,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"EUW1",23050516,"Alexv4",20909666,"EUW1",23050516,"/v1/stats/player_history/EUW1/23050516",3014,1642
"33477785064",5,100,5,FALSE,1082,2033,3800,3001,3009,1026,3340,3,7,3,0,1,0,349,0,0,0,0,0,103052,99952,2797,301,0,17487,16434,751,301,3594,1,22017,172,172,16,30,27073,7695,18995,382,8804,8350,0,0,153,2,0,2,561,13,0,0,10,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"EUW1",39285819,"Qrexx",36189187,"EUW1",39285819,"/v1/stats/player_history/EUW1/39285819",3020,1642
"33477785065",6,200,6,TRUE,1055,3006,3508,3031,0,0,3340,5,2,7,4,1,1,591,0,0,0,0,0,94732,0,93022,1710,589,8934,0,8834,100,2015,3,3565,8714,8714,22,7,8221,3325,4774,122,10363,8475,2,0,151,8,8,0,107,13,1,0,12,0,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"EUW1",41808027,"Red Whale",39619524,"EUW1",41808027,"/v1/stats/player_history/EUW1/41808027",3020,1642
"33477785066",7,200,7,TRUE,1409,0,3111,3065,1057,1029,3364,5,2,15,5,1,1,1096,0,0,0,0,0,74733,54635,14409,5689,0,9554,8017,1393,144,19343,1,20659,4664,1770,35,46,25278,10930,13880,467,10157,7720,0,0,67,29,18,0,507,13,2,0,19,5,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"EUW1",28537998,"Kazeel",24136128,"EUW1",28537998,"/v1/stats/player_history/EUW1/28537998",3014,1642
"33477785067",8,200,8,TRUE,3153,1055,3111,3046,3031,1011,3340,15,6,5,7,3,3,402,3,1,0,0,0,175179,17626,155121,2431,641,32779,2838,29326,614,567,1,21794,12974,10787,18,32,22428,11857,10043,528,14935,12000,2,0,212,15,7,7,197,15,0,0,11,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"EUW1",35512027,"Mashu",31860960,"EUW1",35512027,"/v1/stats/player_history/EUW1/35512027",24,1642
"33477785068",9,200,9,TRUE,3401,2055,2045,3067,1029,3111,3364,1,4,15,0,1,0,748,0,0,0,0,0,16955,5357,6478,5119,0,4626,2880,1274,472,8944,5,22604,1312,963,49,27,20007,9207,10625,174,8358,6800,0,0,42,0,0,0,51,12,6,0,17,7,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"EUW1",26097920,"SweepzKillz",22264023,"EUW1",26097920,"/v1/stats/player_history/EUW1/26097920",0,1642
"33477785069",10,200,10,TRUE,3152,3157,3111,1055,0,0,3340,3,1,7,2,1,1,1062,0,0,0,0,0,59162,39687,19164,310,0,12390,9535,2855,0,606,1,4589,4598,3686,18,23,10283,6382,3809,92,8826,7075,2,1,95,2,0,0,63,13,1,0,11,3,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"EUW1",228247387,"RKS Reidoz",87978165,"EUW1",228247387,"/v1/stats/player_history/EUW1/228247387",3015,1642
